hits,years,salary
66,1,NA
81,14,475
130,3,480
141,11,500
87,2,91.5
169,11,750
37,2,70
73,3,100
81,2,75
92,13,1100
159,10,517.143
53,9,512.5
113,4,550
60,6,700
43,13,240
39,3,NA
158,15,775
46,5,175
104,12,NA
32,8,135
92,1,100
109,1,115
10,6,NA
116,6,600
168,18,776.667
163,6,765
73,7,708.333
129,10,750
152,5,625
137,14,900
84,17,NA
108,3,110
141,9,NA
168,5,612.5
49,7,300
106,14,850
36,4,NA
60,2,90
98,16,NA
61,1,NA
41,2,67.5
54,18,NA
57,9,NA
46,4,180
40,11,NA
68,6,305
132,3,215
57,5,247.5
140,16,NA
146,6,815
101,17,875
53,2,70
7,4,NA
168,9,1200
101,12,675
102,6,415
58,4,340
61,14,NA
78,12,416.667
177,6,1350
113,1,90
44,16,275
56,4,230
53,4,225
3,3,NA
139,17,950
37,4,NA
53,3,75
142,4,105
113,12,NA
81,17,320
31,3,NA
131,14,850
122,18,535
137,15,933.333
119,9,850
97,4,210
55,8,NA
103,6,325
96,4,275
118,16,NA
70,15,450
238,5,1975
46,5,NA
163,11,1900
83,9,600
174,14,1041.667
82,2,110
41,16,260
114,4,475
83,5,431.5
123,4,1220
78,1,70
138,3,145
69,8,NA
119,12,595
148,14,1861.46
71,15,NA
115,3,300
110,7,490
151,10,2460
132,2,NA
49,8,375
106,10,NA
114,13,NA
37,6,NA
95,3,NA
154,14,750
198,5,1175
51,1,70
128,14,1500
76,5,385
125,13,1925.571
152,3,215
64,18,NA
171,6,900
118,4,155
77,16,700
94,9,535
85,8,362.5
96,15,733.333
77,20,200
139,5,400
84,5,400
126,11,737.5
59,13,NA
78,5,500
120,8,600
158,5,662.5
169,7,950
104,7,750
54,5,297.5
70,18,325
99,4,87.5
39,9,175
40,3,90
170,6,1237.5
103,15,430
69,5,NA
103,2,100
144,2,165
200,4,250
55,12,1300
133,17,773.333
45,10,NA
132,6,1008.333
39,14,275
183,5,775
136,11,850
70,15,365
61,11,NA
41,2,95
86,1,110
95,10,100
147,10,277.5
102,5,80
94,13,600
100,4,NA
93,15,NA
163,3,200
47,12,NA
174,6,657
39,3,75
200,13,2412.5
66,14,250
76,3,155
157,4,640
92,6,300
73,4,110
69,4,NA
91,13,825
54,2,NA
101,3,195
43,3,NA
47,11,450
184,5,630
58,1,86.5
118,8,1300
150,14,1000
171,13,1800
147,6,1310
74,10,737.5
161,4,625
91,2,125
159,9,1043.333
136,10,725
85,7,300
223,3,365
64,1,75
127,7,1183.333
127,2,202.5
70,12,225
141,15,525
52,6,265
149,7,787.5
84,10,800
128,13,587.5
34,1,NA
92,3,145
146,9,NA
157,10,420
54,1,75
179,5,575
53,4,NA
131,7,780
56,2,90
93,2,150
148,13,700
59,4,NA
131,6,550
88,8,NA
65,9,650
54,1,68
71,3,100
77,6,670
120,3,175
60,3,137
1,2,2127.333
94,7,875
43,3,120
75,3,140
167,4,210
110,7,800
76,4,240
93,5,350
76,4,NA
137,2,175
152,2,200
84,12,NA
144,9,1940
80,7,700
163,4,750
83,14,450
135,1,172
123,9,1260
160,5,NA
52,24,750
56,5,190
154,6,580
72,5,130
77,12,450
96,5,300
56,12,250
70,16,1050
108,3,215
68,18,400
119,7,NA
110,9,560
160,8,1670
101,20,487.5
6,1,NA
82,5,425
145,11,500
44,1,NA
80,7,NA
76,6,250
52,12,400
90,10,450
135,9,750
68,1,70
119,7,875
27,4,190
68,6,191
178,6,740
86,4,250
57,3,140
101,1,97.5
113,12,740
149,1,140
63,10,341.667
84,2,NA
163,13,1000
117,6,100
66,3,90
140,4,200
112,2,135
145,2,155
159,6,475
142,18,1450
96,4,150
103,2,105
122,4,350
210,6,90
2,2,NA
169,8,530
76,8,341.667
152,6,940
213,4,350
103,8,326.667
70,4,250
211,5,740
68,7,425
63,17,NA
141,8,925
120,4,185
4,1,920
43,7,286.667
47,6,245
46,5,NA
61,17,235
147,7,1150
138,3,160
51,23,NA
113,5,425
42,10,900
194,8,NA
32,19,500
69,4,277.5
112,7,750
139,2,160
186,6,1300
81,7,525
124,7,550
207,5,1600
117,1,120
172,1,165
53,8,NA
127,5,700
136,12,875
126,6,385
144,8,960
170,11,1000
