n,accuracy_score,time
1,0.7586666666666667,20.822514295578003
2,0.766,16.39135241508484
3,0.756,16.527392148971558
4,0.756,19.174429893493652
5,0.774,17.905848503112793
6,0.756,25.04342532157898
7,0.7926666666666666,18.352433919906616
8,0.787,17.377902030944824
9,0.8066666666666666,52.03926610946655
10,0.7826666666666666,17.181598663330078
11,0.805,67.35218024253845
12,0.7993333333333333,63.24165391921997
13,0.806,35.13773465156555
14,0.8056666666666666,50.39270091056824
15,0.8103333333333333,34.940659046173096
16,0.814,59.755248069763184
17,0.8096666666666666,47.03280758857727
18,0.8096666666666666,50.03164267539978
19,0.815,36.503979206085205
20,0.8133333333333334,35.56158423423767
21,0.813,49.768362045288086
22,0.8186666666666667,56.44084048271179
23,0.8236666666666667,51.80920696258545
24,0.813,59.346649169921875
25,0.822,55.95623803138733
26,0.822,72.99914503097534
27,0.8203333333333334,47.60893249511719
28,0.8266666666666667,69.80673813819885
29,0.8233333333333334,42.286956787109375
30,0.823,43.78737258911133
31,0.821,37.89445114135742
32,0.821,45.00088691711426
33,0.8253333333333334,35.32629871368408
34,0.819,32.801748752593994
35,0.824,47.53376746177673
36,0.8223333333333334,43.1952862739563
37,0.8236666666666667,38.9616973400116
38,0.8233333333333334,36.459965467453
39,0.8226666666666667,36.345627546310425
40,0.827,25.827839612960815
41,0.8256666666666667,27.29819893836975
42,0.826,21.798247814178467
43,0.8253333333333334,23.336041927337646
44,0.8276666666666667,26.02740788459778
45,0.826,27.77745294570923
46,0.8226666666666667,25.148849964141846
47,0.8233333333333334,26.752737998962402
48,0.824,25.420435667037964
49,0.824,21.591073036193848
