n,accuracy_score,time
1,0.756,203.2216534614563
2,0.763,207.47549676895142
3,0.7793333333333333,221.03913807868958
4,0.756,211.44927406311035
5,0.772,211.82386112213135
6,0.775,211.2124879360199
7,0.786,217.60447812080383
8,0.7956666666666666,210.49299716949463
9,0.802,224.3074231147766
10,0.8036666666666666,224.9002285003662
11,0.8056666666666666,223.14155530929565
12,0.8023333333333333,223.8143332004547
13,0.791,227.41388607025146
14,0.8066666666666666,224.36867547035217
15,0.8136666666666666,224.46116542816162
16,0.8176666666666667,209.3706202507019
17,0.81,223.92988991737366
18,0.8113333333333334,226.16530060768127
19,0.8073333333333333,230.62146615982056
20,0.8166666666666667,227.7512903213501
21,0.812,227.52501606941223
22,0.8123333333333334,226.62268781661987
23,0.8213333333333334,227.17009210586548
24,0.8103333333333333,490.3919243812561
