n,accuracy_score,time
25,0.8123333333333334,278.0866770744324
26,0.8156666666666667,550.4691045284271
27,0.824,283.76595759391785
28,0.8176666666666667,295.4855830669403
29,0.8253333333333334,289.10276985168457
30,0.827,281.58419847488403
31,0.8263333333333334,285.0288815498352
32,0.8186666666666667,283.29816460609436
33,0.8213333333333334,289.60862016677856
34,0.826,285.45580315589905
35,0.824,283.0060393810272
36,0.8176666666666667,306.08930492401123
37,0.82,290.9588899612427
38,0.8196666666666667,288.78536200523376
39,0.8186666666666667,289.15786051750183
40,0.823,283.8259108066559
41,0.8253333333333334,286.0515387058258
42,0.827,285.11906456947327
43,0.823,286.74633979797363
44,0.8263333333333334,293.582407951355
45,0.8263333333333334,288.697340965271
46,0.8193333333333334,286.7743935585022
47,0.8213333333333334,287.6910412311554
48,0.821,283.06531620025635
49,0.828,281.15987396240234
50,0.824,292.801465511322
